filenames,AU.01.a,AU.01.b,AU.02,AU.04,AU.05.c,AU.05.d,AU.14,AU.14.a,AU.14.b,AU.15,AU.15.a,AU.15.a.01,AU.15.a.02,AU.15.a.03,AU.16,AU.17,AU.18,AU.18.a,AU.18.b,AU.19,AU.20,AU.21,AU.21.a,AU.21.b,AU.22,AU.22.a,AU.22.b,AU.23,AU.24,AU.25,AU.25.a,AU.25.b,AU.25.c,AU.26,AU.31,AU.31.a,AU.31.a.01,AU.32,AU.32.a,AU.32.b,AU.34.a,AU.35,AU.36.a,AU.37,AU.37.a,AU.37.b,AU.37.d,AU.37.e,AU.37.f,AU.37.g,AU.37.h,AU.37.i,AU.40,AU.40.a,AU.40.b,AU.42,AU.43,AU.43.a,AU.43.a.01,AU.43.a.02,AU.44,AU.45,AU.46,AU.46.a
Henry IV - Part 1,1,1,2,25,0,2,16,2,0,31,20,1,9,2,0,1,2,1,0,0,2,19,3,4,18,3,3,4,4,21,0,1,5,2,18,4,2,23,10,4,0,4,1,47,0,11,6,2,0,0,0,5,21,0,17,1,53,19,0,8,7,23,33,6
Henry IV - Part 2,1,1,2,26,0,2,25,5,0,75,39,0,16,1,0,0,19,0,0,0,3,7,0,3,25,0,3,6,10,22,2,1,3,2,25,7,6,24,13,6,0,2,0,37,10,3,13,0,0,0,0,2,17,1,9,1,49,21,0,6,6,10,33,12
Henry V,1,0,2,24,0,1,21,5,0,39,24,1,13,0,0,2,6,0,1,0,0,11,0,5,14,0,2,5,6,13,2,0,4,4,19,2,2,21,14,2,0,4,0,57,6,12,15,1,0,0,3,7,31,2,19,2,43,18,1,7,10,8,47,20
Henry VI - Part 1,0,0,6,25,0,3,27,4,0,52,25,2,9,1,1,7,3,0,0,0,1,7,0,2,13,2,4,6,8,37,9,1,9,3,24,4,4,28,21,3,3,7,0,58,13,11,11,0,0,1,1,0,29,1,17,7,42,8,0,3,11,17,49,26
Henry VI - Part 2,0,1,4,34,0,0,42,13,0,100,65,5,24,3,4,6,10,1,0,0,3,12,2,5,19,2,3,8,3,41,9,2,9,4,37,6,4,25,20,3,3,6,0,74,11,15,16,0,0,0,1,1,33,0,21,3,60,12,0,4,3,10,48,12
Henry VI - Part 3,0,1,4,28,0,1,47,16,0,120,76,4,45,4,5,11,1,0,0,0,5,10,1,4,18,3,5,7,4,32,10,3,5,7,22,3,0,37,27,5,9,3,0,44,6,9,10,0,0,0,1,0,32,1,13,0,53,19,1,7,13,16,38,15
Henry VIII,1,3,6,17,0,0,41,7,0,81,47,2,22,0,1,8,7,0,0,0,1,16,1,9,16,2,5,5,6,20,0,1,4,7,24,7,2,15,9,0,0,12,0,63,5,11,21,1,0,0,3,6,28,0,6,2,57,12,0,3,15,5,47,19
King John,1,0,3,40,0,2,15,4,0,62,22,0,17,0,3,5,3,1,0,0,4,12,1,3,20,5,1,8,3,29,7,1,4,10,23,3,0,21,8,2,2,1,1,43,3,3,11,0,1,0,1,2,33,0,28,1,56,24,0,8,7,8,31,9
Richard II,0,1,6,16,0,0,41,9,0,166,79,8,46,3,1,19,3,0,1,0,0,16,1,5,23,2,4,6,15,18,4,0,1,15,30,6,1,27,18,5,0,6,0,53,2,9,7,2,0,2,0,2,25,3,16,4,53,11,0,4,9,14,49,18
Richard III,2,3,14,31,0,2,35,9,0,135,85,1,40,0,4,20,5,1,0,0,0,29,5,3,38,4,7,5,15,30,1,0,8,10,63,17,2,32,27,0,3,9,2,46,8,7,9,0,0,1,1,1,38,1,19,2,75,22,0,12,9,9,59,15
