"SEMTAG"	"S.Count"	"S.Total_Emotion"	"Non.S.Count"	"Non.S.Total_Emotion"	"significance"
"1"	"AU.05"	54	15053	59	27762	0.00571967389895624
"2"	"AU.05.a"	6	15053	4	27762	0.109978522664023
"3"	"AU.05.b"	6	15053	16	27762	0.509726317829391
"4"	"AU.06"	105	15053	144	27762	0.023530362180283
"5"	"AU.07"	285	15053	337	27762	5.73318091325648e-08
"6"	"AU.07.a"	227	15053	267	27762	9.82004884006754e-07
"7"	"AU.08"	494	15053	977	27762	0.221609297493405
"8"	"AU.09"	61	15053	64	27762	0.00187802838210146
"9"	"AU.10"	118	15053	234	27762	0.537999686408989
"10"	"AU.10.a"	1	15053	0	27762	0.351597533632287
"11"	"AU.11"	468	15053	772	27762	0.0615852547964447
"12"	"AU.11.a"	83	15053	198	27762	0.0518679307660126
"13"	"AU.11.b"	1	15053	9	27762	0.181130584002034
"14"	"AU.11.c"	98	15053	160	27762	0.360035532767466
"15"	"AU.12"	167	15053	347	27762	0.22683516508238
"16"	"AU.12.a"	90	15053	167	27762	1
"17"	"AU.13"	120	15053	176	27762	0.0582216462651488
"18"	"AU.13.a"	87	15053	132	27762	0.15679653313286
"19"	"AU.27"	1381	15053	2522	27762	0.779404519869124
"20"	"AU.27.a"	469	15053	810	27762	0.271695332617102
"21"	"AU.27.b"	154	15053	270	27762	0.609789301482307
"22"	"AU.27.c"	265	15053	457	27762	0.387587671626423
"23"	"AU.27.d"	151	15053	241	27762	0.167454981762877
"24"	"AU.28"	194	15053	235	27762	1.90776105786355e-05
"25"	"AU.28.a"	64	15053	120	27762	0.938503163580783
"26"	"AU.28.b"	114	15053	101	27762	1.26506982788479e-07
"27"	"AU.29"	878	15053	1722	27762	0.150204630416497
"28"	"AU.29.a"	8	15053	11	27762	0.63155154597095
"29"	"AU.29.b"	344	15053	616	27762	0.681773417580778
"30"	"AU.29.c"	27	15053	59	27762	0.499392338180666
"31"	"AU.29.d"	10	15053	21	27762	0.85164941304265
"32"	"AU.30"	558	15053	1477	27762	3.39482828929387e-13
"33"	"AU.34"	341	15053	638	27762	0.865603812344742
"34"	"AU.36"	207	15053	517	27762	0.000218172132471443
"35"	"AU.37.c"	76	15053	146	27762	0.832626356542226
"36"	"AU.47"	884	15053	1330	27762	5.68525189745881e-06
"37"	"AU.47.a"	294	15053	433	27762	0.00373906946529527
"38"	"AU.47.a.01"	1	15053	0	27762	0.351597533632287
"39"	"AU.47.b"	16	15053	27	27762	0.752294886264544
"40"	"AU.47.c"	8	15053	7	27762	0.176037264681333
"41"	"AU.47.d"	22	15053	47	27762	0.615553587141279
